From	To	Content
Full-Service Checkout Control	<<algorithm>> Compute Total Cost	F2.2: Compute total price
Full-Service Checkout Control	Product Inventory	F1.2: Retrieve product information (item identification number)
Product Inventory	Full-Service Checkout Control	F1.3: Product information
Credit/Debit Card Authorization Center Proxy	Full-Service Checkout Control	P2.1 [accepted]: Authorization Code P2A.1 [rejected]: Rejection Message
Full-Service Checkout Control	Credit/Debit Card Authorization Center Proxy	P1.2: Request credit card authorization (credit card input), P1.2A: Request debit card authorization (debit card input and PIN)
Full-Service Checkout Control	Till Interface	F2.10: Open till
Scale Interface	Full-Service Checkout Control	B1.5: Item weight
Full-Service Checkout Control	Scale Interface	B1.2: Calculate item weight
Full-Service Checkout Control	Bulk Item Weight	B1.6: Store item weight
Bulk Item Weight	Full-Service Checkout Control	B1.7: Item weight stored
Bulk Item Product Information	Full-Service Checkout Control	F1.4A.1 [bulk item]: Product information stored
Full-Service Checkout Control	Bulk Item Product Information	F1.4A [bulk item]: Store product information
Credit/Debit Card Authorization Center Proxy	Credit/Debit Card Authorization Center	P1.3: Request credit card authorization (credit card input), P1.2A.1: Request debit card authorization (debit card input and PIN)
Credit/Debit Card Authorization Center	Credit/Debit Card Authorization Center Proxy	P2 [accepted]: Authorization Code P2A [rejected]: Rejection Message
Till Interface	Till	F2.11: Open till
